dataset,n,algorithm,avg_time_us,min_time_us,median_time_us,char_comparisons,char_inspections,runs
common_prefix,2200,QUICKSORT,5523.515,5504.494,5522.974,1920851,3841702,11
common_prefix,2200,MERGESORT,4501.997,4479.158,4499.762,1550818,3101636,11
common_prefix,2200,STRING_QUICKSORT,615.379,591.263,613.765,178092,179862,11
common_prefix,2200,STRING_MERGESORT_LCP,876.527,858.205,870.250,173475,346950,11
common_prefix,2200,MSD_RADIX_SORT,2258.189,2149.265,2190.944,0,318332,11
common_prefix,2200,MSD_RADIX_SORT_WITH_STRING_QS,2239.849,2200.515,2234.747,9330,323354,11
common_prefix,2300,QUICKSORT,5863.351,5827.002,5857.517,2034682,4069364,11
common_prefix,2300,MERGESORT,4721.831,4699.183,4717.393,1630450,3260900,11
common_prefix,2300,STRING_QUICKSORT,633.313,617.022,628.739,186373,188246,11
common_prefix,2300,STRING_MERGESORT_LCP,909.352,890.776,903.607,181436,362872,11
common_prefix,2300,MSD_RADIX_SORT,2287.178,2264.914,2287.161,0,332884,11
common_prefix,2300,MSD_RADIX_SORT_WITH_STRING_QS,2332.828,2297.034,2328.011,9744,338051,11
common_prefix,2400,QUICKSORT,6359.635,6333.146,6357.247,2211873,4423746,11
common_prefix,2400,MERGESORT,4974.999,4930.784,4947.217,1711011,3422022,11
common_prefix,2400,STRING_QUICKSORT,674.613,661.264,671.805,196648,198616,11
common_prefix,2400,STRING_MERGESORT_LCP,939.447,924.077,932.291,189448,378896,11
common_prefix,2400,MSD_RADIX_SORT,2400.528,2331.341,2362.764,0,347424,11
common_prefix,2400,MSD_RADIX_SORT_WITH_STRING_QS,2431.559,2380.415,2422.942,10316,352918,11
common_prefix,2500,QUICKSORT,6463.874,6438.337,6456.429,2246357,4492714,11
common_prefix,2500,MERGESORT,5191.250,5172.921,5188.298,1793400,3586800,11
common_prefix,2500,STRING_QUICKSORT,695.431,679.930,689.088,203174,205212,11
common_prefix,2500,STRING_MERGESORT_LCP,983.183,966.857,975.275,197512,395024,11
common_prefix,2500,MSD_RADIX_SORT,2496.156,2448.913,2475.024,0,361984,11
common_prefix,2500,MSD_RADIX_SORT_WITH_STRING_QS,2562.239,2504.808,2562.245,10819,367709,11
common_prefix,2600,QUICKSORT,6732.532,6711.815,6725.306,2341767,4683534,11
common_prefix,2600,MERGESORT,5458.459,5435.616,5457.793,1875853,3751706,11
common_prefix,2600,STRING_QUICKSORT,724.442,713.280,719.408,211937,214045,11
common_prefix,2600,STRING_MERGESORT_LCP,1073.528,1039.737,1056.339,205587,411174,11
common_prefix,2600,MSD_RADIX_SORT,2841.854,2595.089,2729.579,0,376514,11
common_prefix,2600,MSD_RADIX_SORT_WITH_STRING_QS,2723.258,2571.404,2685.983,11635,382798,11
common_prefix,2700,QUICKSORT,7622.728,7482.592,7581.766,2604890,5209780,11
common_prefix,2700,MERGESORT,5763.100,5663.250,5679.185,1962263,3924526,11
common_prefix,2700,STRING_QUICKSORT,788.955,765.912,779.684,224577,226781,11
common_prefix,2700,STRING_MERGESORT_LCP,1081.875,1065.862,1072.897,213611,427222,11
common_prefix,2700,MSD_RADIX_SORT,2752.499,2677.529,2714.717,0,391040,11
common_prefix,2700,MSD_RADIX_SORT_WITH_STRING_QS,2823.346,2709.031,2786.438,12443,397891,11
common_prefix,2800,QUICKSORT,7533.824,7406.328,7437.673,2583538,5167076,11
common_prefix,2800,MERGESORT,5990.973,5898.228,5909.834,2043932,4087864,11
common_prefix,2800,STRING_QUICKSORT,794.614,774.339,789.152,227039,229344,11
common_prefix,2800,STRING_MERGESORT_LCP,1125.574,1104.908,1123.668,221621,443242,11
